"	Email",Address,Avatar,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,Clean_Address_Loc,Clean_Address_County
bethsullivan@reed.net,"80500 Mary Corners Apt. 225Wallsville, ME 80526",Beige,11.25,38.68,2.09,408.96,ME 80526,ME
bhamilton@shaw.biz,"036 Mary Drive Apt. 581Port Brandytown, FL 66143",DarkOrchid,12.27,36.58,3.02,494.69,FL 66143,FL
bhill@pierce-kane.info,"3324 Branch Squares Suite 221Riddleton, OK 34594",RoyalBlue,14.33,35.72,3.63,626.02,OK 34594,OK
blakekent@smith-pena.com,"3933 Brooke PointJohnsonburgh, DE 22659-3488",Crimson,9.95,37.35,3.22,410.6,DE 22659-3488,DE
blevinseric@stephens.com,"PSC 3676, Box 1549APO AE 26130-7683",Orange,12.36,38.04,3.31,468.91,Box 1549APO AE 26130-7683,Bo
bonnie69@lin.biz,"PSC 2734, Box 5255APO AA 98456-7482",Brown,11.81,37.15,3.2,427.2,Box 5255APO AA 98456-7482,Bo
bradleysmith@barber.com,"581 Gilmore PortHeatherville, MS 20879",PaleVioletRed,11.17,35.63,5.46,587.57,MS 20879,MS
brandon77@richardson.com,"109 Jessica ManorNorth Patriciashire, PR 84726",GhostWhite,11.85,36.93,1.08,266.09,PR 84726,PR
brandonsmith@yahoo.com,"62106 Nathan Mountain Suite 505North Matthewborough, AZ 32092-6122",Gold,11.52,36.19,3.56,474.53,AZ 32092-6122,AZ
brenda25@gmail.com,"353 Jones Loaf Apt. 767South Michaelburgh, PR 16281-4840",OliveDrab,10.86,38.84,3.67,465.18,PR 16281-4840,PR
brenda68@hotmail.com,"0377 Reed Via Apt. 169Alexandershire, MO 43498",Moccasin,12.93,38.17,3.85,570.45,MO 43498,MO
brenda82@maldonado-gonzalez.net,"645 Elizabeth PassWilliamview, MS 51544",MediumVioletRed,10.96,37.27,2.95,442.67,MS 51544,MS
brian28@sanchez.org,"7446 Mary FerryLake Sherryfurt, GA 49066-0207",GhostWhite,11.61,37.68,3.16,510.4,GA 49066-0207,GA
brian51@cook.info,"0508 Terrance CliffRebekahtown, NC 48724-8308",SaddleBrown,10.75,38.79,1.43,275.92,NC 48724-8308,NC
briancarlson@page-fleming.com,"USCGC GillFPO ,AA 26496",DarkMagenta,13.39,35.69,4.34,588.71,AA 26496,AA
briangonzales@gmail.com,"572 Michelle Motorway Apt. 889New Craig, ND 17250",Fuchsia,12.09,38.31,3.87,506.55,ND 17250,ND
briannasantana@gmail.com,"88978 Noble CrestNorth Rosemouth, FM 53484-6689",LightPink,13.41,35.99,3.18,518.06,FM 53484-6689,FM
brianwilson@yahoo.com,"448 Stewart DivideNew Ashleyfort, FM 84050",BurlyWood,12.17,39.13,3.66,549.86,FM 84050,FM
bushsharon@barber.com,"0013 Andre FieldWhitebury, AZ 68447-6306",DarkSeaGreen,11.96,36.52,3.45,506.38,AZ 68447-6306,AZ
bushsusan@hotmail.com,"20618 David SquareGayland, HI 78719-9628",Moccasin,11.44,36.22,4.85,528.93,HI 78719-9628,HI
bwilliams@hotmail.com,"1549 Walker Passage Apt. 463West Calvin, AZ 03144",PaleVioletRed,11.89,37.86,3.05,491.91,AZ 03144,AZ
campbellross@yahoo.com,"6218 Michael Station Apt. 982Salazarburgh, NJ 79955",DarkRed,11.38,38.3,3.78,528.22,NJ 79955,NJ
carolfarley@gmail.com,"51173 Curtis Cliff Apt. 727Ramoston, DE 32714-4579",SlateBlue,10.44,35.94,2.9,407.66,DE 32714-4579,DE
carrillojacob@perry-larsen.com,"909 Hicks MountainsGabriellaport, MD 33121",Aquamarine,13.49,37.55,3.09,511.98,MD 33121,MD
casey21@johnson.com,"691 Johnson Field Apt. 510Michaelville, VI 78140",SpringGreen,11.59,39.09,3.6,512.83,VI 78140,VI
cbrady@gonzalez-miller.com,"193 Ashley Plaza Suite 706Hernandezport, WV 71270-7338",Aqua,12.33,36.67,3.35,482.6,WV 71270-7338,WV
chansen@holt.com,"2380 Fisher Neck Suite 233Brianland, AZ 34453-0625",LightSkyBlue,11.39,39.08,2.44,451.63,AZ 34453-0625,AZ
charlesgutierrez@hotmail.com,"363 Kathleen UnderpassAshleyside, PR 98964",MistyRose,13.67,36.9,3.52,564.79,PR 98964,PR
charlesjackson@brady-fuller.net,"3802 Veronica CausewayEast Patrickfurt, DC 84522",GhostWhite,12.07,35.57,2.4,411.19,DC 84522,DC
charris@gmail.com,"2781 Matthew Wells Apt. 569Potterview, KS 50763-8282",MediumSeaGreen,12.35,37.12,2.31,420.92,KS 50763-8282,KS
chasejennifer@hotmail.com,"9507 Robert Prairie Apt. 601East Crystalview, SC 56814",DarkOrchid,11.97,37.28,4.74,554.72,SC 56814,SC
chelsea05@hansen.com,"7182 Stephen Fork Suite 150Port Laurachester, CO 99974-1961",LightGray,12.76,36.6,4.13,542.71,CO 99974-1961,CO
chris67@ryan.biz,"716 Bush Greens Apt. 098Trevorton, MA 17817-8000",Silver,11.67,37.41,3.41,483.16,MA 17817-8000,MA
christianwade@butler.info,"3687 Sarah Ranch Suite 919Gainesfort, AK 05665",Crimson,10.08,38.07,2.62,357.78,AK 05665,AK
christopher20@gmail.com,"USNV FullerFPO ,AE 32122-5711",Snow,13.41,36.11,2.26,448.23,AE 32122-5711,AE
christopher44@hotmail.com,"549 Anna AvenuePort Laura, CA 76209-9339",WhiteSmoke,11.55,35.77,4.18,551.02,CA 76209-9339,CA
christopher66@hotmail.com,"388 Kelly PikeWest Jeffery, DE 44039-7785",BurlyWood,13.19,37.07,1.49,376.34,DE 44039-7785,DE
christopherhaas@gmail.com,"56674 Melanie FlatsSchneiderberg, IN 66532",MediumPurple,11.72,37.15,3.31,476.77,IN 66532,IN
christophermorrison@mcguire-carter.biz,"90089 Eric WellNicoleside, MT 95918",Blue,11.78,37.98,3.78,554,MT 95918,MT
clester@yahoo.com,"76778 Underwood KnollNew Gregory, ID 57323",LightCyan,11.2,37.69,2.41,409.07,ID 57323,ID
clifford76@johnson.com,"8032 Hodge Circle Apt. 255Lake Jessicashire, OR 54914",RosyBrown,11.55,38.58,4.77,532.72,OR 54914,OR
cody68@hotmail.com,"374 Dana JunctionsLangside, WI 36474",SpringGreen,13.28,35.91,4.97,666.13,WI 36474,WI
codyandrews@hotmail.com,"63010 Reyes Creek Apt. 569West Catherinetown, MN 67491-6816",Indigo,13.39,37.19,4.07,596.52,MN 67491-6816,MN
cohensean@yahoo.com,"3751 Green LoafNew Julia, VT 20897",DarkCyan,12.03,36.13,2.31,426.15,VT 20897,VT
connerjoseph@gmail.com,"981 David SquareNew Jacquelinetown, AK 66018-4092",Turquoise,11.33,35.46,4.54,568.72,AK 66018-4092,AK
connorlambert@yahoo.com,"931 Andrews HeightsSouth Shelley, NV 21850",Khaki,12.15,37.33,3.36,459.29,NV 21850,NV
contrerastiffany@gmail.com,"439 Todd Summit Apt. 478Mooreland, AR 31655",CadetBlue,12.91,36.05,3.49,547.71,AR 31655,AR
craigcastro@burgess.com,"65407 Warner Forges Suite 071New Lori, AZ 30132-2395",OrangeRed,11.84,36.38,3.44,469.31,AZ 30132-2395,AZ
crawforderik@price.org,"5183 Michael RampEast Lukeburgh, FL 93972",DarkKhaki,12.83,37.68,2.97,493.72,FL 93972,FL
cruiz@yahoo.com,"497 Julian Brook Suite 872Hillberg, FM 87927-5760",LightSalmon,9.32,36.91,2.87,384.33,FM 87927-5760,FM
cunninghamkyle@ellis-parker.org,"449 Williamson Lakes Apt. 118Travisville, AK 06848-0177",LightGreen,12.32,37.82,3.44,501.1,AK 06848-0177,AK
cunninghamwilliam@hotmail.com,"4589 Dan FordsBeasleyburgh, ME 96590-8272",HoneyDew,9.95,37.39,4.65,478.17,ME 96590-8272,ME
cwilson@hotmail.com,"680 Jennifer Lodge Apt. 808Brendachester, TX 05000-5873",Teal,12.39,36.84,2.34,456.47,TX 05000-5873,TX
dale88@hotmail.com,"0787 Andrews Ranch Apt. 633South Chadburgh, TN 56128",Cornsilk,11.5,38.33,4.96,551.62,TN 56128,TN
dana59@hotmail.com,"31927 Jill MountainSouth Jessica, MN 63418",Blue,10.4,36.68,3.86,461.11,MN 63418,MN
daniellecuevas@hotmail.com,"9287 Daniel Rest Apt. 608Allentown, SD 73050",LavenderBlush,10.64,37.58,2.93,421.97,SD 73050,SD
david28@wallace-hill.org,"43382 Heather MeadowsNew Lisaburgh, WI 19151-0302",LightBlue,12.68,35.62,3.68,528.31,WI 19151-0302,WI
david43@richards.com,"967 Andrew SpursMathistown, CO 28230",Indigo,11.55,36.63,2.84,444.29,CO 28230,CO
david47@hotmail.com,"37216 Krista DrivesWest Andrew, DE 70036",DarkKhaki,12.72,35.13,3.48,508.77,DE 70036,DE
david58@yahoo.com,"6058 Thomas DivideMatthewland, PA 89442-8198",LightSalmon,11.69,37.48,1.72,373.89,PA 89442-8198,PA
david79@lopez-montes.com,"969 William ManorWest Sherry, MA 66282-2258",Purple,12.38,37.23,3.09,463.48,MA 66282-2258,MA
david80@knight.com,"368 Morris Ports Apt. 735New Lisaville, GA 34271-8632",MediumAquaMarine,9.48,37.91,5.05,531.96,GA 34271-8632,GA
david81@hotmail.com,"1576 Lane ShoalRogerton, PR 63867-3426",Thistle,11.66,37.28,4.48,560.56,PR 63867-3426,PR
davidsonkathleen@gmail.com,"70128 Zimmerman OverpassRobertsshire, VA 59860",DarkBlue,11.2,37.84,2.21,403.82,VA 59860,VA
davisbriana@gmail.com,"15298 Erickson Shore Apt. 056South Patrickfort, MD 16503-3145",MediumVioletRed,11.74,37.94,2.19,424.2,MD 16503-3145,MD
davischristina@hotmail.com,"49352 Avila Terrace Suite 624Amandaland, GA 99736",SeaGreen,11.97,36.55,2.96,506.13,GA 99736,GA
davisrobert@hicks-smith.com,"95967 Pitts BurgsWest Sarah, MH 27817-5147",SkyBlue,11.19,40.01,3.55,451.58,MH 27817-5147,MH
dawnlewis@watkins.org,"623 Erica FlatLake Josephland, MT 73514",Crimson,12.22,36.59,3.9,529.23,MT 73514,MT
dbell@hotmail.com,"3485 Anthony Street Apt. 119Mikeberg, FL 32602",DarkViolet,11.92,37.77,4.35,592.69,FL 32602,FL
dbenson@simpson.net,"732 Heather PlaceNorth Michael, VT 92527",DodgerBlue,11.35,37.09,4.08,442.06,VT 92527,VT
dblair@gmail.com,"190 Kelley BurgWest Juliaport, IA 35826-8163",MediumSlateBlue,8.51,35.46,1.84,302.19,IA 35826-8163,IA
dbrown@gmail.com,"76666 Kathy LocksPort Susan, ME 64335",Indigo,11.12,36.81,4.03,521.2,ME 64335,ME
deandanny@yahoo.com,"9781 Lopez Spurs Apt. 300Fitzgeraldborough, MA 89035-4317",Ivory,12.64,36.52,5.23,604.84,MA 89035-4317,MA
deborah48@white.com,"1693 Gary Mission Suite 479Lake Kelly, MO 68205",DarkGreen,11.91,38.42,3.38,502.13,MO 68205,MO
deborah51@yahoo.com,"4190 Shelton HarborsNorth Christopher, RI 60962",Violet,12.14,36.85,1.62,399.98,RI 60962,RI
denise22@hernandez-townsend.com,"USNS CardenasFPO ,AA 85439-9449",Silver,11.66,36.77,3.92,519.34,AA 85439-9449,AA
denisemorrow@johnson-james.net,"24458 Hudson SquareHallside, PA 68038",MediumSpringGreen,13.01,37.79,3.01,475.26,PA 68038,PA
dhudson@ramos.net,"5661 Grant CentersStevensfurt, CT 53959",Olive,11.73,36.07,4.43,494.64,CT 53959,CT
djohnson@hotmail.com,"5358 Stephen Parkway Suite 894Kimview, MN 17436-4528",Coral,13.33,36.9,5.05,616.66,MN 17436-4528,MN
dominguezjacob@hotmail.com,"8594 Erica Manors Apt. 529Lake Miguel, MH 10652-9266",CornflowerBlue,10.98,37.4,5.39,555.89,MH 10652-9266,MH
dominguezmaria@gmail.com,"1768 Rosales Ford Apt. 793Lake Markbury, SC 31567",RoyalBlue,12.14,37.26,3.4,512.55,SC 31567,SC
donald67@harrison.com,"9759 Tammy Skyway Apt. 171Lake Debra, AS 95011",Lime,10.65,37.15,3.22,468.45,AS 95011,AS
dongarcia@hotmail.com,"546 Benjamin Lights Suite 421Romerofurt, NC 43746-4501",MediumBlue,11.86,36.58,3.2,479.73,NC 43746-4501,NC
douglas95@yahoo.com,"395 Summers Courts Apt. 413Coopermouth, IA 21205-1079",White,11.3,37.83,5.14,593.16,IA 21205-1079,IA
douglasdunlap@boone-rose.com,"093 Larson PortsWest Kathryn, OK 91243",Purple,11.8,36.32,2.08,319.93,OK 91243,OK
drew27@ryan-thompson.com,"4475 Lopez Stravenue Apt. 690Smithchester, NV 84347",PeachPuff,12.97,37.33,3.23,542.41,NV 84347,NV
drew29@hotmail.com,"20888 Erin ViaGrahamville, NH 72913-6101",Tomato,12.73,36.54,1.14,357.86,NH 72913-6101,NH
dtaylor@webb.com,"18219 Jackson WellFosterton, MP 85302",Orange,11.73,36,5,593.08,MP 85302,MP
duane56@hotmail.com,"24373 Mcgee Drive Apt. 990New Mariahaven, NH 14470",Gainsboro,11.94,38.77,3.65,521.88,NH 14470,NH
dvasquez@wiley.com,"967 Chloe Springs Suite 554Lake Ashley, GA 03230",HoneyDew,11.08,34.78,2.57,388.94,GA 03230,GA
dwhite@gmail.com,"02136 White Grove Suite 418Marytown, DE 70033",OrangeRed,11.51,37.13,4.66,549.13,DE 70033,DE
dylanmartin@hotmail.com,"42644 Helen Keys Apt. 103Jessicahaven, KS 89406-1960",MidnightBlue,12.95,37.03,3.47,534.77,KS 89406-1960,KS
ebrown@osborne.com,"4291 Nichols Fork Apt. 562Thomaschester, SC 08938-8769",DarkSlateGray,12.97,36.97,6.08,657.02,SC 08938-8769,SC
ebutler@rogers-gonzalez.com,"001 Estrada UnionLewismouth, TN 47360",Chartreuse,13,36.99,4.62,589.03,TN 47360,TN
ecruz@yahoo.com,"08111 Barry HighwayBentonberg, GU 13706",Gainsboro,11.79,36.26,2.4,387.53,GU 13706,GU
edward29@knapp.com,"4029 Gerald CapeSouth Laurenborough, SC 19130-5133",DarkOrange,11.14,35.95,5.45,584.22,SC 19130-5133,SC
edwardbrown@yahoo.com,"2971 Angela IslandLake Timothychester, NE 48734-6685",HotPink,12.14,37.14,5.84,663.8,NE 48734-6685,NE
efoster@williamson-boyd.org,"4968 Bennett ManorsRogerschester, IL 81579-8333",Lavender,11.82,36.31,2.12,434.14,IL 81579-8333,IL
efreeman@moore.com,"223 Powell RidgesEast Richardtown, RI 90715-2178",White,12.28,38.23,3.32,478.89,RI 90715-2178,RI
egomez@hotmail.com,"768 Riley Pine Apt. 624Kellymouth, OK 98992-3108",MistyRose,12.21,37.2,2.91,479.25,OK 98992-3108,OK
elizabeth61@berg-braun.com,"649 King ExtensionNorth April, NY 54175",Lavender,13.19,35.92,1.82,445.06,NY 54175,NY
elizabethnunez@vasquez-nelson.net,"209 Andrew ViaductPort Anna, OR 01627-8037",Cornsilk,10.31,36.73,4.79,493.18,OR 01627-8037,OR
ellen24@anthony.com,"PSC 3408, Box 3353APO AE 05113-1257",LimeGreen,11.31,37.68,2.78,408.62,Box 3353APO AE 05113-1257,Bo
ellenlucas@cox.org,"86268 Davis CornerNorth Danielview, CT 59551-9382",DarkGoldenRod,11.52,35.94,3.01,444.05,CT 59551-9382,CT
enash@gmail.com,"997 Campbell Flat Suite 970East Amanda, PW 22048",HotPink,11.76,36.77,1.85,347.78,PW 22048,PW
erik46@hotmail.com,"20711 Martin Harbors Apt. 582New Justinborough, AK 40834-2664",LemonChiffon,10.61,36.82,3.37,473.73,AK 40834-2664,AK
esmith@gmail.com,"USS JohnsonFPO ,AE 35617-5384",OldLace,13.35,37.83,4.25,614.72,AE 35617-5384,AE
ethomas@yahoo.com,"1279 Douglas MountainsPort Christopherberg, RI 32811-8325",LightGreen,11.2,35.49,4.02,505.12,RI 32811-8325,RI
fbryant@gmail.com,"284 Jennifer CurveLake Hollyberg, IN 05228",GreenYellow,10.89,38.21,4.44,488.79,IN 05228,IN
fischermonica@gmail.com,"9847 Michael Plaza Suite 837Lake Christophershire, NV 87324-8427",Navy,11.75,36.94,0.8,298.76,NV 87324-8427,NV
fishermichael@ramos.com,"565 Duarte Keys Suite 293Traceytown, IN 17797",LimeGreen,10.95,35.88,3.16,462.9,IN 17797,IN
flevine@gmail.com,"5292 Melanie Crescent Apt. 064Fischerborough, NV 85721-5045",AliceBlue,12.48,37.68,3.28,478.58,NV 85721-5045,NV
floresarthur@yahoo.com,"12612 Johnson Skyway Suite 764Jessicaville, CT 14968-6590",Magenta,9.61,36.49,5.08,507.21,CT 14968-6590,CT
floresbradley@hotmail.com,"446 Daniel Rest Suite 644Port Matthewhaven, MN 89465",BlanchedAlmond,12.11,36.29,4.39,604.33,MN 89465,MN
francesjohnson@lee.com,"577 Peters TurnpikeLoriport, MA 60572-1669",Aquamarine,11.92,35.72,2.16,382.42,MA 60572-1669,MA
francisgeorge@thomas.org,"27563 Vincent LakeAllenchester, DC 22159",Teal,11.91,38.27,2.91,460.06,DC 22159,DC
freemantina@cannon.org,"870 Dennis ThroughwayWilsonport, PW 12658",AntiqueWhite,10.54,35.53,3.09,412.01,PW 12658,PW
fsnow@ellis.com,"0272 Jones WayLake Angela, MP 97003-5793",MediumBlue,12.44,37.33,5.08,586.16,MP 97003-5793,MP
fuenteskathryn@schmidt-johnson.org,"839 Heather CliffSouth Blake, SC 90412",Cyan,11.47,37.06,3.8,506.42,SC 90412,SC
garciakevin@gmail.com,"845 Colleen WaysLake Matthewview, VT 65340-3159",Orange,12.66,36.37,1.73,436.58,VT 65340-3159,VT
garcialisa@yahoo.com,"46079 Gonzalez LoafWilliamside, PA 72265",LemonChiffon,11.01,38.42,3.54,424.76,PA 72265,PA
garnerjustin@king.com,"0833 Brian Canyon Suite 566Anthonymouth, VT 01329-7541",DarkCyan,11.85,37.49,2.76,461.63,VT 01329-7541,VT
gbarnes@gmail.com,"8667 Suzanne Motorway Suite 241Spencechester, KY 74385-4618",Green,13.44,36.88,2.36,439.89,KY 74385-4618,KY
george02@hotmail.com,"3286 Lynch FieldHenrychester, RI 41833-7902",LightCoral,14.43,37.37,3.93,640.19,RI 41833-7902,RI
gharrison@davis.com,"04140 Cameron Brooks Apt. 724South Laurenberg, HI 08562",MediumSpringGreen,11.62,35.97,3.63,501.21,HI 08562,HI
gomezalicia@hotmail.com,"506 Allison Cove Apt. 766Weeksstad, AS 71308",MediumSpringGreen,12.53,36.69,3.53,488.27,AS 71308,AS
gonzaleskatie@gmail.com,"70129 Darrell SpringThomasmouth, HI 39319-2739",Moccasin,13.15,37.34,3.88,593.92,HI 39319-2739,HI
greenelizabeth@edwards.com,"54051 Jenkins ViewEast Danielshire, IN 32905-7784",DarkViolet,11.62,38.42,4.56,560.44,IN 32905-7784,IN
gregoryholmes@hotmail.com,"2891 Martin Plain Suite 197Melaniestad, NE 65650-8529",DarkSalmon,13.76,39.25,3,520.9,NE 65650-8529,NE
gregoryrussell@yahoo.com,"55436 Devon PlainWest Kendraberg, HI 18826-3623",Teal,10.67,38.01,3.4,418.15,HI 18826-3623,HI
gregorystewart@hotmail.com,"232 John Haven Suite 456Johnsonhaven, VT 90106-0173",PaleGoldenRod,12.46,37.75,4.66,570.63,VT 90106-0173,VT
grichardson@ryan.info,"79139 Boone CommonStewartstad, DE 63633-1812",SteelBlue,11.94,38.06,4.08,521.14,DE 63633-1812,DE
gstrong@hotmail.com,"7875 Landry Road Apt. 947Brownshire, NC 10074-7735",Pink,13.59,36.84,3.61,618.85,NC 10074-7735,NC
hailey18@yahoo.com,"08079 Thompson VillageNorth Lukeborough, AL 16825",Lime,12.73,35.6,5.49,642.1,AL 16825,AL
halljohn@yahoo.com,"311 Savannah Ramp Suite 245Carlsonbury, LA 08453-6035",MediumTurquoise,10.13,34.85,3.29,393.86,LA 08453-6035,LA
hallthomas@lane.com,"22630 Bell Centers Suite 030North Danielport, FM 31756",DarkTurquoise,11.82,36.95,3.66,490.6,FM 31756,FM
hannahgilbert@gmail.com,"6961 Mary Stravenue Suite 857Hilltown, TX 52813-7703",Aqua,10.98,34.81,3.2,451.73,TX 52813-7703,TX
hannahwilson@davidson.com,"49791 Rachel Heights Apt. 898East Drewborough, OR 55919-9528",DarkMagenta,12.42,35.77,2.74,497.78,OR 55919-9528,OR
